videoId;frameId;x1;y1;x2;y2;x3;y3;x4;y4
1;1;490;1022;718;372;1668;340;1916;854
2;1;230;432;1536;500;1498;1072;0;766
2;61;431;450;678;696;806;690;1617;494
2;121;249;446;1338;491;305;923;1322;750
2;181;249;446;1338;491;305;923;1322;750
2;241;500;419;365;839;1553;753;1581;485
2;301;1455;561;807;899;360;497;875;462
2;361;809;825;614;380;1385;575;1208;885
2;421;809;825;614;380;1385;575;1208;885
2;541;1274;867;270;413;1098;414;1478;443
2;661;1508;869;431;623;1661;458;1353;486
2;721;1508;869;431;623;1661;458;1353;486
2;781;1508;869;431;623;1661;458;1353;486
2;841;960;542;1208;387;789;396;1721;459
2;1261;359;624;998;552;1694;533;1166;485
2;1321;1425;555;734;578;926;512;1095;893
2;1381;359;624;998;552;1694;533;1166;485
2;1441;1496;807;569;593;764;474;1191;512
2;1501;813;921;524;437;1632;576;1359;753
2;1561;1784;870;627;1001;1806;554;324;447
2;1621;327;1010;1383;857;177;534;864;617
2;1681;71;959;1151;780;639;551;1160;492
2;1741;71;959;1151;780;639;551;1160;492
4;1;300;700;1682;746;746;417;1608;455
4;30;300;700;1682;746;746;417;1608;455
4;146;300;700;1682;746;746;417;1608;455
4;233;24;758;1916;471;1614;756;1521;407
4;1364;1392;995;173;651;152;366;1013;293
